Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
103,WA7EBH,443.700000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,"Bellevue, Cougar Mountain",,,,
104,KG7CM,443.775000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Vashon Island,,,,
105,WA7FW,443.850000,+,5.000000,,88.5,88.5,023,NN,DV,5.00,,Federal Way,CQCQCQ,,,0
106,K7SPG,444.000000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Seattle,,,,
107,KC7LFW,444.225000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,Seattle,,,,
108,K7OET,444.325000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,"Bellevue, Cougar Mountain",,,,
109,AJ7JA,444.375000,+,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,"Seattle, Capitol Hill",,,,
110,WW7SEA,444.425000,+,5.000000,Tone,141.3,141.3,023,NN,Auto,5.00,,"Seattle, KOMO TV Tower",,,,
111,N7KGJ,444.525000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,"Issaquah, Squak Mountain",,,,
112,WW7SEA,444.550000,+,5.000000,Tone,141.3,141.3,023,NN,FM,5.00,,"Seattle, Columbia Center",,,,
113,K7LWH,444.600000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,"Bellevue, Lincoln Square",,,,
114,WA7HJR,444.637500,+,5.000000,,88.5,88.5,023,NN,DV,5.00,,"Issaquah, Tiger Mountain East",CQCQCQ,,,0
115,WA7HJR,444.650000,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,"Issaquah, Tiger Mountain East",,,,
116,WW7SEA,444.700000,+,5.000000,Tone,103.5,103.5,023,NN,FM,5.00,,"Seattle, Queen Anne Hill",,,,
117,K7IDS,444.775000,+,5.000000,Tone,173.8,88.5,023,NN,FM,5.00,,"Seattle, Seattle Childrens Hospital",,,,
118,K7OET,444.800000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,"Enumclaw, Baldi Mountain",,,,
119,W7SRZ,444.825000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,"Seattle, Northwest Hospital",,,,
120,W7DME,444.850000,+,5.000000,Tone,103.5,103.5,023,NN,P25,5.00,,"Bellevue, Cougar Mountain",,,,
121,N7UIC,444.900000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Covington,,,,
122,N7SNO,444.925000,+,5.000000,Tone,85.4,88.5,023,NN,FM,5.00,,Snoqualmie,,,,
123,W7BMW,445.825000,,0.000000,Tone,100.0,100.0,023,NN,FM,5.00,,Seattle,,,,
